label,mean_intensity_nucleoplasm,area_nucleoplasm,mean_intensity_membrane,area_membrane,ratio,filename,localization
13,56.191610640163695,54736.0,43.35419959953631,9489.0,1.2961053637065574,24138_196_F7_2.tif,membrane
16,46.53323117494031,56122.0,46.19451805233521,12076.0,1.0073323229007685,24138_196_F7_2.tif,membrane
1,77.86049046321526,23855.0,136.12441596582565,7491.0,0.5719803454125549,27897_273_C8_2.tif,nucleoplasm
2,113.14782608695653,115.0,119.70231532524807,907.0,0.9452434213951328,27897_273_C8_2.tif,nucleoplasm
3,103.1753286929621,25860.0,128.57513118142788,6289.0,0.8024516696574472,27897_273_C8_2.tif,nucleoplasm
4,66.71727624145109,16815.0,154.71431399722826,5051.0,0.4312288534766495,27897_273_C8_2.tif,nucleoplasm
5,71.53325223033252,19728.0,120.9846777034167,5678.0,0.591258774153947,27897_273_C8_2.tif,nucleoplasm
6,84.31548258401105,19551.0,121.26000892990028,6719.0,0.695328025522028,27897_273_C8_2.tif,nucleoplasm
7,85.49479311302416,14404.0,146.10634581797012,5153.0,0.5851545505048752,27897_273_C8_2.tif,nucleoplasm
9,56.77109144542773,11865.0,105.39671257219014,4502.0,0.5386419562805916,27897_273_C8_2.tif,nucleoplasm
10,68.35916101733473,21979.0,109.81451865788648,6378.0,0.6224965683299056,27897_273_C8_2.tif,nucleoplasm
11,53.254874086108856,14772.0,134.8794979079498,4780.0,0.3948329798977552,27897_273_C8_2.tif,nucleoplasm
12,53.02272891261996,13859.0,134.2401915638239,5429.0,0.39498400810468554,27897_273_C8_2.tif,nucleoplasm
13,74.8007714762302,47960.0,147.28585159554018,10404.0,0.5078612145424508,27897_273_C8_2.tif,nucleoplasm
14,92.04824612516023,17162.0,151.29332806948284,5066.0,0.6084091565682674,27897_273_C8_2.tif,nucleoplasm
15,58.3486918887376,41128.0,153.23682209832742,7892.0,0.3807746146764712,27897_273_C8_2.tif,nucleoplasm
16,45.30552546045504,923.0,88.69797421731123,1086.0,0.5107842186954111,27897_273_C8_2.tif,nucleoplasm
1,68.31671232876712,1825.0,83.13994374120956,1422.0,0.8217074640009038,27985_284_E10_2.tif,nucleoplasm
2,70.83311757961312,27037.0,97.9866519884409,7267.0,0.7228853741014544,27985_284_E10_2.tif,nucleoplasm
4,83.47722032003354,28622.0,116.72870265508998,7947.0,0.7151387655416,27985_284_E10_2.tif,nucleoplasm
6,82.3047619047619,24360.0,85.90993339125399,6906.0,0.958035452430474,27985_284_E10_2.tif,nucleoplasm
7,62.76105994944023,22152.0,121.02462832257096,6659.0,0.5185808939826784,27985_284_E10_2.tif,nucleoplasm
8,64.73459909340863,26914.0,104.70326086956521,6440.0,0.6182672684287474,27985_284_E10_2.tif,nucleoplasm
9,94.99909730998375,27695.0,124.5075427908326,6894.0,0.7629987322902855,27985_284_E10_2.tif,nucleoplasm
10,72.12309160305344,34584.0,119.9007914075749,7076.0,0.601523065497439,27985_284_E10_2.tif,nucleoplasm
11,69.1116804269224,51719.0,82.5388328214129,9116.0,0.8373232097485257,27985_284_E10_2.tif,nucleoplasm
